zcrtname,zstate1,zcity3,推理,省,市,地区
China,guizhou,guanshanhu district,guizhou指贵州，无需修改。guanshanhu district指贵阳市观山湖区，贵阳是地级市，返回guiyang。将原输入市guanshanhu district填充到地区。,guizhou,guiyang,guanshanhu district
China,jiangxi,zhushan district,jiangxi指江西，无需修改。zhushan district信息不足以确定其归属哪个地级市，保持原样。,jiangxi,zhushan district,null
China,beijing,haidian district,beijing指北京，直辖市，无需修改。haidian district指北京市海淀区，直接返回beijing。将原输入市haidian district填充到地区。,beijing,beijing,haidian district
China,guangdong,shenzhen,guangdong指广东，无需修改。shenzhen指深圳，深圳是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,guangdong,shenzhen,null
China,shandong,xintai,shandong指山东，无需修改。xintai指新泰市，新泰是县级市，所属地级市是泰安，返回taian。将原输入市xintai填充到地区。,shandong,taian,xintai
China,beijing,beijing,beijing指北京，直辖市，无需修改。市信息为beijing，即北京市本身，无需修改。输入没有提供地区名，填充为null。,beijing,beijing,null
China,guizhou,zhongshan district,guizhou指贵州，无需修改。zhongshan district指遵义市中山路区域，但该名称可能不准确，由于不确定具体位置，保持原样。,guizhou,zhongshan district,null
China,hebei,baoding,hebei指河北，无需修改。baoding指保定，保定是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,hebei,baoding,null
China,gansu,chengguan district,gansu指甘肃，无需修改。chengguan district指兰州市城关区，兰州是地级市，返回lanzhou。将原输入市chengguan district填充到地区。,gansu,lanzhou,chengguan district
China,jiangxi,pingxiang,jiangxi指江西，无需修改。pingxiang指萍乡，萍乡是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,jiangxi,pingxiang,null
China,anhui,luyang qu,anhui指安徽，无需修改。luyang qu指合肥市庐阳区，合肥是地级市，返回hefei。将原输入市luyang qu填充到地区。,anhui,hefei,luyang qu
China,hubei,wuchang district,hubei指湖北，无需修改。wuchang district指武汉市武昌区，武汉是地级市，返回wuhan。将原输入市wuchang district填充到地区。,hubei,wuhan,wuchang district
China,hubei,wuhan,hubei指湖北，无需修改。wuhan指武汉，武汉是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,hubei,wuhan,null
China,shanghai,pudong,shanghai指上海，直辖市，无需修改。pudong指浦东新区，直接返回shanghai。将原输入市pudong填充到地区。,shanghai,shanghai,pudong
China,liaoning,hunnan district,liaoning指辽宁，无需修改。hunnan district指沈阳市浑南区，沈阳是地级市，返回shenyang。将原输入市hunnan district填充到地区。,liaoning,shenyang,hunnan district
China,shaanxi,yanta district,shaanxi指陕西，无需修改。yanta district指西安市雁塔区，西安是地级市，返回xian。将原输入市yanta district填充到地区。,shaanxi,xian,yanta district
China,anhui,hefei,anhui指安徽，无需修改。hefei指合肥，合肥是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,anhui,hefei,null
China,beijing,chaoyang district,beijing指北京，直辖市，无需修改。chaoyang district指北京市朝阳区，直接返回beijing。将原输入市chaoyang district填充到地区。,beijing,beijing,chaoyang district
China,guangdong,guangming district,guangdong指广东，无需修改。guangming district指深圳市光明区，深圳是地级市，返回shenzhen。将原输入市guangming district填充到地区。,guangdong,shenzhen,guangming district
China,jiangsu,gusu district,jiangsu指江苏，无需修改。gusu district指苏州市姑苏区，苏州是地级市，返回suzhou。将原输入市gusu district填充到地区。,jiangsu,suzhou,gusu district
China,beijing,dongcheng district,beijing指北京，直辖市，无需修改。dongcheng district指北京市东城区，直接返回beijing。将原输入市dongcheng district填充到地区。,beijing,beijing,dongcheng district
China,shaanxi,shenmu,shaanxi指陕西，无需修改。shenmu指神木市，神木是县级市，所属地级市是榆林，返回yulin。将原输入市shenmu填充到地区。,shaanxi,yulin,shenmu
China,sichuan,wuhou district,sichuan指四川，无需修改。wuhou district指成都市武侯区，成都为地级市，返回chengdu。将原输入市wuhou district填充到地区。,sichuan,chengdu,wuhou district
China,anhui,yushan district,anhui指安徽，无需修改。yushan district信息不足以确定其归属哪个地级市，保持原样。,anhui,yushan district,null
China,tianjin,nankai district,tianjin指天津，直辖市，无需修改。nankai district指天津市南开区，直接返回tianjin。将原输入市nankai district填充到地区。,tianjin,tianjin,nankai district
China,fujian,huli district,fujian指福建，无需修改。huli district指厦门市湖里区，厦门是地级市，返回xiamen。将原输入市huli district填充到地区。,fujian,xiamen,huli district
China,hubei,jiangxia district,hubei指湖北，无需修改。jiangxia district指湖北武汉的江夏区，属于武汉，武汉是地级市，返回wuhan。将原输入市jiangxia district填充到地区,hubei,wuhan,jiangxia district
China,heilongjiang,harbin,heilongjiang指黑龙江，无需修改。harbin指黑龙江的哈尔滨，哈尔滨是直辖市，符合格式无需修改。输入没有提供地区名，填充为null。,heilongjiang,harbin,null
China,sichuan,jinjiang district,sichuan指四川，无需修改。jinjiang district指四川成都的锦江区，属于成都，成都是地级市，返回chengdu。将原输入市jinjiang district填充到地区,sichuan,chengdu,jinjiang district
China,shanghai,baoshan district,shanghai指上海，无需修改。baoshan district指上海的宝山区，上海是直辖市，返回shanghai。将原输入市baoshan district填充到地区,shanghai,shanghai,baoshan district
China,jiangsu,jiangning district,jiangsu指江苏，无需修改。jiangning district指江苏南京的江宁区，属于南京，南京是地级市，返回nanjing。将原输入市jiangning district填充到地区,jiangsu,nanjing,jiangning district
China,shaanxi,weiyang district,shaanxi指陕西，无需修改。weiyang district指陕西西安的未央区，属于西安，西安是地级市，返回xian。将原输入市weiyang district填充到地区,shaanxi,xian,weiyang district
China,liaoning,shenyang,liaoning指辽宁，无需修改。shenyang指辽宁的沈阳，沈阳是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,liaoning,shenyang,null
China,jiangsu,xiangcheng district,jiangsu指江苏，无需修改。xiangcheng district指江苏苏州的相城区，属于苏州，苏州是地级市，返回suzhou。将原输入市xiangcheng district填充到地区,jiangsu,suzhou,xiangcheng district
China,jiangsu,xuanwu district,jiangsu指江苏，无需修改。xuanwu district指江苏南京的玄武区，属于南京，南京是地级市，返回nanjing。将原输入市xuanwu district填充到地区,jiangsu,nanjing,xuanwu district
China,hebei,qiaoxi district,hebei指河北，无需修改。qiaoxi district指河北石家庄的桥西区，属于石家庄，石家庄是地级市，返回shijiazhuang。将原输入市qiaoxi district填充到地区,hebei,shijiazhuang,qiaoxi district
China,guangdong,nanshan district,guangdong指广东，无需修改。nanshan district指广东深圳的南山区，属于深圳，深圳是地级市，返回shenzhen。将原输入市nanshan district填充到地区,guangdong,shenzhen,nanshan district
China,chongqing,chongqing,chongqing指重庆，无需修改。chongqing是直辖市，符合格式无需修改。输入没有提供地区名，填充为null。,chongqing,chongqing,null
China,guangdong,tianhe district,guangdong指广东，无需修改。tianhe district指广东广州的天河区，属于广州，广州是地级市，返回guangzhou。将原输入市tianhe district填充到地区,guangdong,guangzhou,tianhe district
China,jiangxi,nankang district,jiangxi指江西，无需修改。nankang district指江西赣州的南康区，属于赣州，赣州是地级市，返回ganzhou。将原输入市nankang district填充到地区,jiangxi,ganzhou,nankang district
China,zhejiang,hangzhou,zhejiang指浙江，无需修改。hangzhou指浙江的杭州，杭州是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,zhejiang,hangzhou,null
China,jiangsu,wuzhong district,jiangsu指江苏，无需修改。wuzhong district指江苏苏州的吴中区，属于苏州，苏州是地级市，返回suzhou。将原输入市wuzhong district填充到地区,jiangsu,suzhou,wuzhong district
China,zhejiang,shangcheng district,zhejiang指浙江，无需修改。shangcheng district指浙江杭州的上城区，属于杭州，杭州是地级市，返回hangzhou。将原输入市shangcheng district填充到地区,zhejiang,hangzhou,shangcheng district
China,shaanxi,chang an district,shaanxi指陕西，无需修改。chang an district应为长安区，指陕西西安的长安区，属于西安，西安是地级市，返回xian。将原输入市chang an district填充到地区,shaanxi,xian,chang an district
China,sichuan,qingyang district,sichuan指四川，无需修改。qingyang district指四川成都的青羊区，属于成都，成都是地级市，返回chengdu。将原输入市qingyang district填充到地区,sichuan,chengdu,qingyang district
China,beijing,xicheng qu,beijing指北京，无需修改。xicheng qu指北京的西城区，北京是直辖市，返回beijing。将原输入市xicheng qu填充到地区,beijing,beijing,xicheng qu
China,heilongjiang,xiangfang district,heilongjiang指黑龙江，无需修改。xiangfang district指黑龙江哈尔滨的香坊区，属于哈尔滨，哈尔滨是直辖市，返回harbin。将原输入市xiangfang district填充到地区,heilongjiang,harbin,xiangfang district
China,shanghai,jing an district,shanghai指上海，无需修改。jing an district指上海的静安区，上海是直辖市，返回shanghai。将原输入市jing an district填充到地区,shanghai,shanghai,jing an district
China,liaoning,shenbei new area,liaoning指辽宁，无需修改。shenbei new area指辽宁沈阳的沈北新区，属于沈阳，沈阳是地级市，返回shenyang。将原输入市shenbei new area填充到地区,liaoning,shenyang,shenbei new area
China,tianjin,dongli district,tianjin指天津，无需修改。dongli district指天津的东丽区，天津是直辖市，返回tianjin。将原输入市dongli district填充到地区,tianjin,tianjin,dongli district
China,guangdong,zhongshan,guangdong指广东，无需修改。zhongshan指广东的中山，中山是县级市，直接返回zhongshan。输入没有提供地区名，填充为null。,guangdong,zhongshan,null
China,hubei,hongshan district,hubei指湖北，无需修改。hongshan district指湖北武汉的洪山区，属于武汉，武汉是地级市，返回wuhan。将原输入市hongshan district填充到地区,hubei,wuhan,hongshan district
China,shaanxi,xi\u0027an,shaanxi指陕西，无需修改。xi'an指陕西的西安，西安是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shaanxi,xian,null
China,xinjiang uygur,saybag district,xinjiang uygur指新疆维吾尔自治区，无需修改。saybag district应为沙依巴克区，指新疆乌鲁木齐的沙依巴克区，属于乌鲁木齐，乌鲁木齐是地级市，返回wulumuqi。将原输入市saybag district填充到地区,xinjiang uygur,wulumuqi,saybag district
China,fujian,jimei district,fujian指福建，无需修改。jimei district指福建厦门的集美区，属于厦门，厦门是地级市，返回xiamen。将原输入市jimei district填充到地区,fujian,xiamen,jimei district
China,zhejiang,xiaoshan,zhejiang指浙江，无需修改。xiaoshan指浙江杭州的萧山区，属于杭州，杭州是地级市，返回hangzhou。将原输入市xiaoshan填充到地区,zhejiang,hangzhou,xiaoshan
China,liaoning,shahekou district,liaoning指辽宁，无需修改。shahekou district指辽宁大连的沙河口区，属于大连，大连是地级市，返回dalian。将原输入市shahekou district填充到地区,liaoning,dalian,shahekou district
China,jiangsu,huqiu district,jiangsu指江苏，无需修改。huqiu district指江苏苏州的虎丘区，属于苏州，苏州是地级市，返回suzhou。将原输入市huqiu district填充到地区,jiangsu,suzhou,huqiu district
China,shaanxi,beilin district,shaanxi指陕西，无需修改。beilin district指陕西西安的碑林区，属于西安，西安是地级市，返回xian。将原输入市beilin district填充到地区,shaanxi,xian,beilin district
China,guangxi zhuang,qingxiu district,guangxi zhuang指广西壮族自治区，无需修改。qingxiu district指广西南宁的青秀区，属于南宁，南宁是地级市，返回nanning。将原输入市qingxiu district填充到地区,guangxi zhuang,nanning,qingxiu district
China,shandong,feicheng,shandong指山东，无需修改。feicheng指山东泰安的肥城市，肥城是县级市，所属地级市是taian。将原输入市feicheng填充到地区,shandong,taian,feicheng
China,tianjin,binhai,tianjin指天津，无需修改。binhai指天津的滨海新区，天津是直辖市，返回tianjin。将原输入市binhai填充到地区,tianjin,tianjin,binhai
China,chongqing,yuzhong district,chongqing指重庆，无需修改。yuzhong district指重庆的渝中区，重庆是直辖市，返回chongqing。将原输入市yuzhong district填充到地区,chongqing,chongqing,yuzhong district
China,liaoning,ganjingzi district,liaoning指辽宁，无需修改。ganjingzi district指辽宁大连的甘井子区，属于大连，大连是地级市，返回dalian。将原输入市ganjingzi district填充到地区,liaoning,dalian,ganjingzi district
China,jiangsu,taicang,jiangsu指江苏，无需修改。taicang指江苏苏州的太仓市，太仓是县级市，所属地级市是suzhou。将原输入市taicang填充到地区,jiangsu,suzhou,taicang
China,hubei,echeng district,hubei指湖北，无需修改。echeng district指湖北鄂州的鄂城区，属于鄂州，鄂州是地级市，返回ezhou。将原输入市echeng district填充到地区,hubei,ezhou,echeng district
China,zhejiang,yuhang district,zhejiang指浙江，无需修改。yuhang district指浙江杭州的余杭区，属于杭州，杭州是地级市，返回hangzhou。将原输入市yuhang district填充到地区,zhejiang,hangzhou,yuhang district
China,sichuan,chengdu,sichuan指四川，无需修改。chengdu指四川的成都，成都是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,sichuan,chengdu,null
China,hebei,huanghua,hebei指河北，无需修改。huanghua指河北沧州的黄骅市，黄骅是县级市，所属地级市是cangzhou。将原输入市huanghua填充到地区,hebei,cangzhou,huanghua
China,guangdong,longhua district,guangdong指广东，无需修改。longhua district指广东深圳的龙华区，属于深圳，深圳是地级市，返回shenzhen。将原输入市longhua district填充到地区,guangdong,shenzhen,longhua district
China,fujian,chengxiang district,fujian指福建，无需修改。chengxiang district指福建莆田的城厢区，属于莆田，莆田是地级市，返回putian。将原输入市chengxiang district填充到地区,fujian,putian,chengxiang district
China,hainan,meilan district,hainan指海南，无需修改。meilan district指海南海口的美兰区，属于海口，海口是地级市，返回haikou。将原输入市meilan district填充到地区,hainan,haikou,meilan district
China,hubei,caidian district,hubei指湖北，无需修改。caidian district指湖北武汉的蔡甸区，属于武汉，武汉是地级市，返回wuhan。将原输入市caidian district填充到地区,hubei,wuhan,caidian district
China,shanghai,minhang district,shanghai指上海，无需修改。minhang district指上海的闵行区，上海是直辖市，返回shanghai。将原输入市minhang district填充到地区,shanghai,shanghai,minhang district
China,yunnan,guandu district,yunnan指云南，无需修改。guandu district指云南昆明的官渡区，属于昆明，昆明是地级市，返回kunming。将原输入市guandu district填充到地区,yunnan,kunming,guandu district
China,yunnan,mangshi,yunnan指云南，无需修改。mangshi指云南德宏的芒市，芒市是县级市，所属地级市是dehong。将原输入市mangshi填充到地区,yunnan,dehong,mangshi
China,liaoning,xigang district,liaoning指辽宁，无需修改。xigang district指大连市的西岗区，返回dalian。将原输入市xigang district填充到地区,liaoning,dalian,xigang district
China,hubei,maojian district,hubei指湖北，无需修改。maojian district指十堰市的茅箭区，返回shiyan。将原输入市maojian district填充到地区,hubei,shiyan,maojian district
China,No Data,No Data,省和市均为No Data，无法识别或推断信息，保持原样,No Data,No Data,null
China,hubei,dongxihu district,hubei指湖北，无需修改。dongxihu district指武汉市的东西湖区，返回wuhan。将原输入市dongxihu district填充到地区,hubei,wuhan,dongxihu district
China,jiangxi,nanchang,jiangxi指江西，无需修改。nanchang是南昌市，符合格式无需修改。输入没有提供地区名，填充为null,jiangxi,nanchang,null
China,tianjin,hebei district,tianjin指天津，无需修改。hebei district指天津市的河北区，直接使用tianjin作为市名。将原输入市hebei district填充到地区,tianjin,tianjin,hebei district
China,anhui,langya district,anhui指安徽，无需修改。langya district指滁州市的琅琊区，返回chuzhou。将原输入市langya district填充到地区,anhui,chuzhou,langya district
China,zhejiang,xihu district,zhejiang指浙江，无需修改。xihu district指杭州市的西湖区，返回hangzhou。将原输入市xihu district填充到地区,zhejiang,hangzhou,xihu district
China,zhejiang,xintang,zhejiang指浙江，无需修改。xintang是指绍兴市下的乡镇级别地名，但更准确的地级市归属不明，保持原样,zhejiang,xintang,null
China,anhui,jinghu district,anhui指安徽，无需修改。jinghu district指芜湖市的镜湖区，返回wuhu。将原输入市jinghu district填充到地区,anhui,wuhu,jinghu district
China,fujian,gulou district,fujian指福建，无需修改。gulou district指福州市的鼓楼区，返回fuzhou。将原输入市gulou district填充到地区,fujian,fuzhou,gulou district
China,shanghai,hongkou district,shanghai指上海，无需修改。hongkou district指上海市的虹口区，直接使用shanghai作为市名。将原输入市hongkou district填充到地区,shanghai,shanghai,hongkou district
China,shandong,wendeng district,shandong指山东，无需修改。wendeng district指威海市的文登区，返回weihai。将原输入市wendeng district填充到地区,shandong,weihai,wendeng district
China,shandong,chengyang district,shandong指山东，无需修改。chengyang district指青岛市的城阳区，返回qingdao。将原输入市chengyang district填充到地区,shandong,qingdao,chengyang district
China,shanghai,huangpu district,shanghai指上海，无需修改。huangpu district指上海市的黄浦区，直接使用shanghai作为市名。将原输入市huangpu district填充到地区,shanghai,shanghai,huangpu district
China,zhejiang,jinhua,zhejiang指浙江，无需修改。jinhua是金华市，符合格式无需修改。输入没有提供地区名，填充为null,zhejiang,jinhua,null
China,shanxi,yuci district,shanxi指山西，无需修改。yuci district指晋中市的榆次区，返回jinzhong。将原输入市yuci district填充到地区,shanxi,jinzhong,yuci district
China,guangdong,baiyun district,guangdong指广东，无需修改。baiyun district指广州市的白云区，返回guangzhou。将原输入市baiyun district填充到地区,guangdong,guangzhou,baiyun district
China,shanxi,pingcheng district,shanxi指山西，无需修改。pingcheng district指大同市的平城区，返回datong。将原输入市pingcheng district填充到地区,shanxi,datong,pingcheng district
China,jiangsu,xuzhou,jiangsu指江苏，无需修改。xuzhou是徐州市，符合格式无需修改。输入没有提供地区名，填充为null,jiangsu,xuzhou,null
China,fujian,luoyuan county,fujian指福建，无需修改。luoyuan county指宁德市的罗源县，返回ningde。将原输入市luoyuan county填充到地区,fujian,ningde,luoyuan county
China,chongqing,jiulongpo district,chongqing指重庆，无需修改。jiulongpo district指重庆市的九龙坡区，直接使用chongqing作为市名。将原输入市jiulongpo district填充到地区,chongqing,chongqing,jiulongpo district
China,chongqing,fengdu,chongqing指重庆，无需修改。fengdu指丰都县，属于重庆市，直接使用chongqing作为市名。将原输入市fengdu填充到地区,chongqing,chongqing,fengdu
China,sichuan,dayi county,sichuan指四川，无需修改。dayi county指成都市的大邑县，返回chengdu。将原输入市dayi county填充到地区,sichuan,chengdu,dayi county
China,liaoning,tiedong district,liaoning指辽宁，无需修改。tiedong district指鞍山市的铁东区，返回anshan。将原输入市tiedong district填充到地区,liaoning,anshan,tiedong district
China,henan,jinshui district,henan指河南，无需修改。jinshui district指郑州市的金水区，返回zhengzhou。将原输入市jinshui district填充到地区,henan,zhengzhou,jinshui district
China,jiangsu,yixing,jiangsu指江苏，无需修改。yixing是宜兴市，符合格式无需修改。输入没有提供地区名，填充为null,jiangsu,yixing,null
China,inner mongolia,ud district,inner mongolia指内蒙古，无需修改。ud district指乌兰察布市的集宁区，返回wulanchabu。将原输入市ud district填充到地区,inner mongolia,wulanchabu,ud district
China,shanghai,putuo district,shanghai指上海，无需修改。putuo district指上海市的普陀区，直接使用shanghai作为市名。将原输入市putuo district填充到地区,shanghai,shanghai,putuo district
China,shandong,lixia district,shandong指山东，无需修改。lixia district指济南市的历下区，返回jinan。将原输入市lixia district填充到地区,shandong,jinan,lixia district
China,guangdong,duanzhou district,guangdong指广东，无需修改。duanzhou district指肇庆市的端州区，返回zhaoqing。将原输入市duanzhou district填充到地区,guangdong,zhaoqing,duanzhou district
China,inner mongolia,hongshan district,inner mongolia指内蒙古，无需修改。hongshan district指赤峰市的红山区，返回chifeng。将原输入市hongshan district填充到地区,inner mongolia,chifeng,hongshan district
China,shaanxi,guodu,shaanxi指陕西，无需修改。guodu不是一个明确可识别的地区名，保持原样,shaanxi,guodu,null
China,jiangsu,luhe,jiangsu指江苏，无需修改。luhe现在归南京市管理，返回nanjing。将原输入市luhe填充到地区,jiangsu,nanjing,luhe
China,jiangsu,yuhuatai district,jiangsu指江苏，无需修改。yuhuatai district指南京市的雨花台区，返回nanjing。将原输入市yuhuatai district填充到地区,jiangsu,nanjing,yuhuatai district
China,beijing,shijingshan district,beijing指北京，无需修改。shijingshan district指北京市的石景山区，直接使用beijing作为市名。将原输入市shijingshan district填充到地区,beijing,beijing,shijingshan district
China,shanxi,yaodu district,shanxi指山西，无需修改。yaodu district指临汾市的尧都区，返回linfen。将原输入市yaodu district填充到地区,shanxi,linfen,yaodu district
China,shanghai,qingpu district,shanghai指上海，无需修改。qingpu district指上海市的青浦区，直接使用shanghai作为市名。将原输入市qingpu district填充到地区,shanghai,shanghai,qingpu district
China,guangdong,longgang,guangdong指广东，无需修改。longgang指深圳市的龙岗区，返回shenzhen。将原输入市longgang填充到地区,guangdong,shenzhen,longgang
China,anhui,jiujiang district,anhui指安徽，无需修改。jiujiang district指铜陵市的郊区，返回tongling。将原输入市jiujiang district填充到地区,anhui,tongling,jiujiang district
China,tianjin,hexi district,tianjin指天津，无需修改。hexi district指天津市的河西区，直接使用tianjin作为市名。将原输入市hexi district填充到地区,tianjin,tianjin,hexi district
China,shanghai,changning district,shanghai指上海，无需修改。changning district指上海市的长宁区，直接使用shanghai作为市名。将原输入市changning district填充到地区,shanghai,shanghai,changning district
China,guangdong,shunde district,guangdong指广东，无需修改。shunde district指佛山市的顺德区，返回foshan。将原输入市shunde district填充到地区,guangdong,foshan,shunde district
China,henan,huiji district,henan指河南，无需修改。huiji district指许昌市的魏都区，返回xuchang。将原输入市huiji district填充到地区,henan,xuchang,huiji district
China,henan,erqi district,henan指河南，无需修改。erqi district指郑州市的二七区，返回zhengzhou。将原输入市erqi district填充到地区,henan,zhengzhou,erqi district
China,anhui,wuhu,anhui指安徽，无需修改。wuhu是芜湖市，符合格式无需修改。输入没有提供地区名，填充为null,anhui,wuhu,null
China,jiangsu,nanjing,jiangsu指江苏，无需修改。nanjing是南京市，符合格式无需修改。输入没有提供地区名，填充为null,jiangsu,nanjing,null
China,guangdong,huicheng district,guangdong指广东，无需修改。huicheng district指惠州市的惠城区，返回huizhou。将原输入市huicheng district填充到地区,guangdong,huizhou,huicheng district
China,sichuan,jinniu district,sichuan指四川，无需修改。jinniu district指成都市的金牛区，返回chengdu。将原输入市jinniu district填充到地区,sichuan,chengdu,jinniu district
China,sichuan,chenghua district,sichuan指四川，无需修改。chenghua district指成都市的成华区，返回chengdu。将原输入市chenghua district填充到地区,sichuan,chengdu,chenghua district
China,guangdong,pingshan district,guangdong指广东，无需修改。pingshan district指广东深圳的坪山区，属于深圳，深圳是地级市，返回shenzhen。将原输入市pingshan district输入填充到地区,guangdong,shenzhen,pingshan district
China,hunan,daxiang district,hunan指湖南，无需修改。daxiang district指湖南邵阳的大祥区，邵阳是地级市，返回shaoyang。将原输入市daxiang district输入填充到地区,hunan,shaoyang,daxiang district
China,hebei,xianghe,hebei是河北的英文，符合格式无需修改。xianghe是指河北的香河县，隶属于廊坊市，返回langfang。将原输入市xianghe输入填充到地区,hebei,langfang,xianghe
China,shanxi,yingze district,shanxi指山西，无需修改。yingze district指山西太原的迎泽区，太原是地级市，返回taiyuan。将原输入市yingze district输入填充到地区,shanxi,taiyuan,yingze district
China,xinjiang uygur,artux,xinjiang uygur指新疆维吾尔自治区，无需修改。artux指新疆的阿图什市，阿图什是县级市，所属地级行政区是克孜勒苏柯尔克孜自治州，但由于没有直接对应的地级市名称，保持原样,xinjiang uygur,artux,null
China,liaoning,heping district,liaoning指辽宁，无需修改。heping district指辽宁抚顺的和平区，抚顺是地级市，返回fushun。将原输入市heping district输入填充到地区,liaoning,fushun,heping district
China,anhui,wanzhi district,anhui指安徽，无需修改。wanzhi district无法明确对应安徽省内的任何具体地名，返回原输入,anhui,wanzhi district,null
China,fujian,minhou county,fujian指福建，无需修改。minhou county指福建福州的闽侯县，福州是地级市，返回fuzhou。将原输入市minhou county输入填充到地区,fujian,fuzhou,minhou county
China,tianjin,tianjin,tianjin指天津，直辖市，无需修改。tianjin为直辖市本身，无需更改,tianjin,tianjin,null
China,fujian,jin an district,fujian指福建，无需修改。jin an district指福建福州的晋安区，福州是地级市，返回fuzhou。将原输入市jin an district输入填充到地区,fujian,fuzhou,jin an district
China,liaoning,yuhong district,liaoning指辽宁，无需修改。yuhong district指辽宁沈阳的于洪区，沈阳是地级市，返回shenyang。将原输入市yuhong district输入填充到地区,liaoning,shenyang,yuhong district
China,tibet,karuo district,tibet指西藏，无需修改。karuo district指西藏昌都的卡若区，昌都是地级市，返回changdu。将原输入市karuo district输入填充到地区,tibet,changdu,karuo district
